номинализация и ее зависимые,лемма номинализации,предложение,номинализация и ее аргументы,модель управления в общем виде,присоединяемые адъюнкты,порядок аргументов,вершина,1-й аргумент,2-ой аргумент,1-ый адъюнкт,2ой адъюнкт,3ий адъюнкт,4ый адъюнкт,
,,,,,,,,,,,,,,
сжигание - газа,сжигание,"Приоритетными проектами ДГК в 2011 году остаются , как и в прошедшем году , реконструкция владивостокских ТЭЦ-2 , ТЭЦ-1 и котельной "" Северная "" с переводом их оборудования на сжигание природного газа",сжигание - газа,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: сжигание,arg1: gen: газ,--,,,,,
,,,,,,,,,,,,,,
создания - в России - условий,создание,"А одобренная госкомиссией концепция прямо заявляет : "" Для создания в России условий , обеспечивающих достижение государственных целей в области национальных телекоммуникаций , требуется усиление роли государства в телекоммуникационном секторе """,создания - в России - условий,"['HEAD', 'gen']",['в+loc'],HEAD-arg1,HEAD: создание,arg1: в+loc: россия,--,adj1: gen: условие,,,,
,,,,,,,,,,,,,,
достижение - целей,достижение,"А одобренная госкомиссией концепция прямо заявляет : "" Для создания в России условий , обеспечивающих достижение государственных целей в области национальных телекоммуникаций , требуется усиление роли государства в телекоммуникационном секторе """,достижение - целей,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: достижение,arg1: gen: цель,--,,,,,
,,,,,,,,,,,,,,
усиление - роли,усиление,"А одобренная госкомиссией концепция прямо заявляет : "" Для создания в России условий , обеспечивающих достижение государственных целей в области национальных телекоммуникаций , требуется усиление роли государства в телекоммуникационном секторе """,усиление - роли,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: усиление,arg1: gen: роль,--,,,,,
,,,,,,,,,,,,,,
увеличение - объемов,увеличение,"Как стало известно РИА "" Ежедневные Новости Владивостока "" , увеличение в два раза объемов жилья относительно первоначальных планов станет возможным за счет изменения этажности застройки и использования зон рекреации",увеличение - объемов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: увеличение,arg1: gen: объем,--,,,,,
,,,,,,,,,,,,,,
изменения - этажности,изменение,"Как стало известно РИА "" Ежедневные Новости Владивостока "" , увеличение в два раза объемов жилья относительно первоначальных планов станет возможным за счет изменения этажности застройки и использования зон рекреации",изменения - этажности,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: изменение,arg1: gen: этажность,--,,,,,
,,,,,,,,,,,,,,
использования - зон,использование,"Как стало известно РИА "" Ежедневные Новости Владивостока "" , увеличение в два раза объемов жилья относительно первоначальных планов станет возможным за счет изменения этажности застройки и использования зон рекреации",использования - зон,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: использование,arg1: gen: зона,--,,,,,
,,,,,,,,,,,,,,
сравнению - с категорией,сравнение,"Разумеется , среди тех , кто прилетает и улетает самолетом , число нарушителей законов Российской Федерации весьма незначительно по сравнению с первой категорией",сравнению - с категорией,['HEAD'],['с+ins'],HEAD,HEAD: сравнение,--,--,adj1: с+ins: категория,,,,
,,,,,,,,,,,,,,
пробуждением - природы,пробуждение,"Считается , что с пробуждением природы от зимнего сна происходит очищение человеческой души",пробуждением - природы,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: пробуждение,arg1: gen: природа,--,,,,,
,,,,,,,,,,,,,,
очищение - души,очищение,"Считается , что с пробуждением природы от зимнего сна происходит очищение человеческой души",очищение - души,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: очищение,arg1: gen: душа,--,,,,,
,,,,,,,,,,,,,,
существования - страницы,существование,"Не прошло двух часов существования страницы , как в друзья Зверю добавились две тысячи человек , а сейчас у симпатяги уже сотни тысяч поклонников",существования - страницы,['HEAD'],['acc'],HEAD,HEAD: существование,--,--,adj1: acc: страница,,,,
,,,,,,,,,,,,,,
содержания - депеш,содержание,"— Из содержания странных депеш мы не усматриваем правовых оснований для того , чтобы отвлекаться от работы , за которую нам платят много тысяч людей сообща",содержания - депеш,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: содержание,arg1: gen: депеша,--,,,,,
,,,,,,,,,,,,,,
правовых - оснований - для того,основание,"— Из содержания странных депеш мы не усматриваем правовых оснований для того , чтобы отвлекаться от работы , за которую нам платят много тысяч людей сообща",оснований - для того,['HEAD'],['для+gen'],HEAD,HEAD: основание,--,--,adj1: для+gen: то,,,,
,,,,,,,,,,,,,,
лишение - свободы,лишение,Новые редакции соответствующих статей УК предлагают судье выбор : кратный штраф или лишение свободы,лишение - свободы,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: лишение,arg1: gen: свобода,--,,,,,
,,,,,,,,,,,,,,
открытии - конкурса,открытие,Именно об этом она говорила на открытии конкурса,открытии - конкурса,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: открытие,arg1: gen: конкурс,--,,,,,
,,,,,,,,,,,,,,
оборудования - –,оборудование,Благодаря высокой маневренности оборудования – то есть его способности быстро переключаться из одного режима в другой – миллионы кубометров воды могут подниматься из нижнего бассейна в верхний и опускаться обратно несколько раз в сутки,оборудования - –,['HEAD'],['PNCT'],HEAD,HEAD: оборудование,--,--,adj1: PNCT: –,,,,
,,,,,,,,,,,,,,
поселения - новый,поселение,"В декабре 2011-го глава поселения ( уже новый ) в третий раз отправил к Кудрину межведомственную комиссию , которая все-таки признала , что "" жилой дом не подлежит восстановлению и непригоден для проживания """,поселения - новый,['HEAD'],['nom (ADJ)'],HEAD,HEAD: поселение,--,--,adj1: nom (ADJ): новый,,,,
,,,,,,,,,,,,,,
восстановлению - и,восстановление,"В декабре 2011-го глава поселения ( уже новый ) в третий раз отправил к Кудрину межведомственную комиссию , которая все-таки признала , что "" жилой дом не подлежит восстановлению и непригоден для проживания """,восстановлению - и,['HEAD'],['CONJ'],HEAD,HEAD: восстановление,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
сложные - отношения - и,отношение,"Короче , надо признаться , очень сложные отношения и конкуренция между Королевым и Челомеем не пошли на пользу общему делу",отношения - и,['HEAD'],['CONJ'],HEAD,HEAD: отношение,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
празднования - юбилея,празднование,"А региональным и муниципальным властям поручено "" оказывать содействие в подготовке празднования юбилея города """,празднования - юбилея,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: празднование,arg1: gen: юбилей,--,,,,,
,,,,,,,,,,,,,,
увеличение - с лет - имеет,увеличение,"В этой связи актуальной и необходимой мерой может стать увеличение с 18 лет до 21 года возраста , с которого молодой человек имеет право на покупку алкогольной и табачной продукции "" , - заявил в беседе с информагентством Прокопенко",увеличение - с лет - имеет,['HEAD'],"['с+gen', 'VERB,impf,tran sing,3per,pres,indc']",HEAD,HEAD: увеличение,--,--,adj1: с+gen: год,"adj2: VERB,impf,tran sing,3per,pres,indc: иметь",,,
,,,,,,,,,,,,,,
скорых - решений - от корпуса,решение,"Надо отметить , что скорых решений от федерального депутатского корпуса ждать не стоит",решений - от корпуса,['HEAD'],['от+gen'],HEAD,HEAD: решение,--,--,adj1: от+gen: корпус,,,,
,,,,,,,,,,,,,,
возвращении - из ссылки,возвращение,"Очерк начинается одним из первых восхищенных отзывов о Байкале , оставленным "" неистовым "" протопопом Аввакумом , летом 1662 года переправлявшимся по возвращении из даурской ссылки с восточного берега моря-озера на западный : "" ... Около ево горы высокие , утесы каменные и зело высоки , -- двадцеть тысящ верст и больши волочился , а не видал таких нигде ... Вода пресная , а нерпы и зайцы великия в нем : во окияне море большом , живучи на Мезени , таких не видел """,возвращении - из ссылки,['HEAD'],['из+gen'],HEAD,HEAD: возвращение,--,--,adj1: из+gen: ссылка,,,,
,,,,,,,,,,,,,,
развития - сети - в Карелии,развитие,Я буду сторонником развития дорожной сети в Карелии,развития - сети - в Карелии,"['HEAD', 'gen']",['в+loc'],HEAD-arg1,HEAD: развитие,arg1: gen: сеть,--,adj1: в+loc: карелия,,,,
,,,,,,,,,,,,,,
своем - намерении - уйти,намерение,"В 2010 году компания заявляла о своем намерении вообще уйти с российского рынка в связи с чрезмерными административными барьерами , но в этом году , после обсуждения конкретных случаев , мы уже обсуждаем с компанией открытие новых магазинов",своем - намерении - уйти,"['poss', 'HEAD']","['INFN,perf,intr']",arg1-HEAD,HEAD: намерение,arg1: poss: свой,--,"adj1: INFN,perf,intr: уйти",,,,
,,,,,,,,,,,,,,
обсуждения - случаев,обсуждение,"В 2010 году компания заявляла о своем намерении вообще уйти с российского рынка в связи с чрезмерными административными барьерами , но в этом году , после обсуждения конкретных случаев , мы уже обсуждаем с компанией открытие новых магазинов",обсуждения - случаев,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: обсуждение,arg1: gen: случай,--,,,,,
,,,,,,,,,,,,,,
открытие - магазинов,открытие,"В 2010 году компания заявляла о своем намерении вообще уйти с российского рынка в связи с чрезмерными административными барьерами , но в этом году , после обсуждения конкретных случаев , мы уже обсуждаем с компанией открытие новых магазинов",открытие - магазинов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: открытие,arg1: gen: магазин,--,,,,,
,,,,,,,,,,,,,,
непрерывных - наблюдений - за тайфунами,наблюдение,Здесь будет произведен монтаж радиолокатора с целью организации непрерывных наблюдений за тайфунами и активными циклонами в радиусе до 300 километров,наблюдений - за тайфунами,['HEAD'],['за+ins'],HEAD,HEAD: наблюдение,--,--,adj1: за+ins: тайфун,,,,
,,,,,,,,,,,,,,
готовящихся - кардинальных - изменениях - закона,изменение,"Недавно стало известно о готовящихся кардинальных изменениях Федерального закона "" Об ООПТ """,изменениях - закона,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: изменение,arg1: gen: закон,--,,,,,
,,,,,,,,,,,,,,
Дальневосточного - отделения - РАН,отделение,"Вот что рассказал информагентству Интерфакс заведующий лабораторией сейсмологии Института морской геологии и геофизики Дальневосточного отделения РАН Иван Тихонов : C 1 июля 2011 года транспортные средства , ввозимые в Российскую Федерацию физическим лицом для собственных нужд , а также бывшие в употреблении транспортные средства , допущенные для участия в дорожном движении за пределами территории РФ , перед их выпуском в обращение будут подлежать оценке соответствия",отделения - РАН,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: отделение,arg1: gen: ран,--,,,,,
,,,,,,,,,,,,,,
участия - в движении,участие,"Вот что рассказал информагентству Интерфакс заведующий лабораторией сейсмологии Института морской геологии и геофизики Дальневосточного отделения РАН Иван Тихонов : C 1 июля 2011 года транспортные средства , ввозимые в Российскую Федерацию физическим лицом для собственных нужд , а также бывшие в употреблении транспортные средства , допущенные для участия в дорожном движении за пределами территории РФ , перед их выпуском в обращение будут подлежать оценке соответствия",участия - в движении,['HEAD'],['в+loc'],HEAD,HEAD: участие,--,--,adj1: в+loc: движение,,,,
,,,,,,,,,,,,,,
дорожном - движении - за пределами,движение,"Вот что рассказал информагентству Интерфакс заведующий лабораторией сейсмологии Института морской геологии и геофизики Дальневосточного отделения РАН Иван Тихонов : C 1 июля 2011 года транспортные средства , ввозимые в Российскую Федерацию физическим лицом для собственных нужд , а также бывшие в употреблении транспортные средства , допущенные для участия в дорожном движении за пределами территории РФ , перед их выпуском в обращение будут подлежать оценке соответствия",движении - за пределами,['HEAD'],['за+ins'],HEAD,HEAD: движение,--,--,adj1: за+ins: предел,,,,
,,,,,,,,,,,,,,
предоставление - жилья,предоставление,"Их земельные участки уже стоят на кадастровом учете , дома многих имеют статус жилых – и выкуп этой собственности у владельцев , предоставление другого жилья владельцам домов существенно увеличат и сроки , и себестоимость строительства в 272-м квартале",предоставление - жилья,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: предоставление,arg1: gen: жилье,--,,,,,
,,,,,,,,,,,,,,
общественных - слушаниях - по декларации,слушание,Об этом на общественных слушаниях по декларации о намерениях компании сообщила начальник отдела охраны природы и борьбы с коррозией СНГ Любовь Малышкина,слушаниях - по декларации,['HEAD'],['по+dat'],HEAD,HEAD: слушание,--,--,adj1: по+dat: декларация,,,,
,,,,,,,,,,,,,,
намерениях - компании,намерение,Об этом на общественных слушаниях по декларации о намерениях компании сообщила начальник отдела охраны природы и борьбы с коррозией СНГ Любовь Малышкина,намерениях - компании,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: намерение,arg1: gen: компания,--,,,,,
,,,,,,,,,,,,,,
своим - сиянием,сияние,"В груди пылал огонь жизни , согревал его душу и освещал дорогу своим сиянием",своим - сиянием,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: сияние,arg1: poss: свой,--,,,,,
,,,,,,,,,,,,,,
исследованиями - в области,исследование,"Предполагается , что в одном из "" крыльев "" бабочки разместятся компании , которые будут заниматься исследованиями в области ядерных , медицинских и энергоэффективных технологий , а в другом — космических и информационных",исследованиями - в области,['HEAD'],['в+loc'],HEAD,HEAD: исследование,--,--,adj1: в+loc: область,,,,
,,,,,,,,,,,,,,
назначению - начальником,назначение,Летом с его подачи к назначению начальником Псковского УВД был представлен генерал-майор Виктор Лесняк,назначению - начальником,"['HEAD', 'ins']",[],HEAD-arg1,HEAD: назначение,arg1: ins: начальник,--,,,,,
,,,,,,,,,,,,,,
течение - сессии,течение,"Напоминая ситуацию 2008 года , аналитик напоминает , что 15 сентября в течение торговой сессии индекс ММВБ опускался на 30 % , а до конца года индикатор потерял более 45 %",течение - сессии,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: течение,arg1: gen: сессия,--,,,,,
,,,,,,,,,,,,,,
параллельным - ослаблением - одной,ослабление,"В свежем докладе Агентства политических и экономических коммуникаций ( АПЭК ) "" Три плюс три : политическая модель - 2011 "" как раз и говорится о возможных сценариях дозированного запуска в парламент представителей системной ( именно системной ) непарламентской оппозиции с параллельным ослаблением одной из действующих парламентских партий - например , ЛДПР или "" Справедливой России """,ослаблением - одной,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: ослабление,arg1: gen: один,--,,,,,
,,,,,,,,,,,,,,
Ло - событие - наполненное,событие,""" Ло "" - событие , наполненное любовью , "" Ве "" - проникновение в круг сил , а "" К "" - главенство от Бога",событие - наполненное,['HEAD'],['acc'],HEAD,HEAD: событие,--,--,adj1: acc: наполнить,,,,
,,,,,,,,,,,,,,
проникновение - в круг,проникновение,""" Ло "" - событие , наполненное любовью , "" Ве "" - проникновение в круг сил , а "" К "" - главенство от Бога",проникновение - в круг,['HEAD'],['в+acc'],HEAD,HEAD: проникновение,--,--,adj1: в+acc: круг,,,,
,,,,,,,,,,,,,,
первые - сообщения - о пленении,сообщение,"Когда поступили первые сообщения о пленении Каддафи , "" МК "" связался с российскими востоковедами , чтобы получить их комментарий о будущем Ливии",сообщения - о пленении,['HEAD'],['о+loc'],HEAD,HEAD: сообщение,--,--,adj1: о+loc: пленение,,,,
,,,,,,,,,,,,,,
пленении - Каддафи,пленение,"Когда поступили первые сообщения о пленении Каддафи , "" МК "" связался с российскими востоковедами , чтобы получить их комментарий о будущем Ливии",пленении - Каддафи,['HEAD'],['nom'],HEAD,HEAD: пленение,--,--,adj1: nom: каддафи,,,,
,,,,,,,,,,,,,,
развитие - болезни,развитие,"Ученые изобрели метод очистки нейронов головного мозга мышей от токсичных продуктов жизнедеятельности , позволяющий предотвратить развитие болезни Альцгеймера",развитие - болезни,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: болезнь,--,,,,,
,,,,,,,,,,,,,,
проведения - занятий,проведение,"Воспитательный эффект помогли обеспечить пневматические винтовки и пистолеты , учебные автоматы Калашникова , спецсредства для проведения занятий , дымовые шашки , взрывпакеты , холостые патроны для показательных выступлений , оборудование для проведения игр и соревнований , призы",проведения - занятий,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: проведение,arg1: gen: занятие,--,,,,,
,,,,,,,,,,,,,,
занятий - шашки,занятие,"Воспитательный эффект помогли обеспечить пневматические винтовки и пистолеты , учебные автоматы Калашникова , спецсредства для проведения занятий , дымовые шашки , взрывпакеты , холостые патроны для показательных выступлений , оборудование для проведения игр и соревнований , призы",занятий - шашки,['HEAD'],['acc'],HEAD,HEAD: занятие,--,--,adj1: acc: шашка,,,,
,,,,,,,,,,,,,,
патроны - оборудование - для проведения - призы,оборудование,"Воспитательный эффект помогли обеспечить пневматические винтовки и пистолеты , учебные автоматы Калашникова , спецсредства для проведения занятий , дымовые шашки , взрывпакеты , холостые патроны для показательных выступлений , оборудование для проведения игр и соревнований , призы",оборудование - для проведения - призы,['HEAD'],"['для+gen', 'acc']",HEAD,HEAD: оборудование,--,--,adj1: для+gen: проведение,adj2: acc: приз,,,
,,,,,,,,,,,,,,
проведения - игр,проведение,"Воспитательный эффект помогли обеспечить пневматические винтовки и пистолеты , учебные автоматы Калашникова , спецсредства для проведения занятий , дымовые шашки , взрывпакеты , холостые патроны для показательных выступлений , оборудование для проведения игр и соревнований , призы",проведения - игр,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: проведение,arg1: gen: игра,--,,,,,
,,,,,,,,,,,,,,
налогообложения - лиц,налогообложение,Подробностей реформы системы налогообложения частных лиц этот документ не раскроет,налогообложения - лиц,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: налогообложение,arg1: gen: лицо,--,,,,,
,,,,,,,,,,,,,,
участие - в фестивале,участие,Но наши ребята принять участие в фестивале смогли благодаря одному человеку – своей учительнице Лилии Ивановне Сыромятниковой,участие - в фестивале,['HEAD'],['в+loc'],HEAD,HEAD: участие,--,--,adj1: в+loc: фестиваль,,,,
,,,,,,,,,,,,,,
кончании - сезона,кончание,"Млья Никулин , молчавший в течение всего нынешнего очень короткого для "" Ак Барса "" плей-офф , но пообещавший заговорить по кончании сезона , держит слово",кончании - сезона,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: кончание,arg1: gen: сезон,--,,,,,
,,,,,,,,,,,,,,
учреждения - обслуживания,учреждение,"– Это прежде всего больницы , поликлиники , школы , аптеки , торговые центры , учреждения бытового обслуживания",учреждения - обслуживания,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: учреждение,arg1: gen: обслуживание,--,,,,,
,,,,,,,,,,,,,,
следующими - требованиями - куст,требование,"Крупноплодную землянику подбираю только современных сортов со следующими требованиями : мощный приподнятый компактный или полураскидистый куст ; умеренная способность образовывать усы ; цветоносы многочисленные на уровне или выше листьев ; ягоды крупные , одновременно созревающие ; кожица ярко-красная со слабо погруженными семянками , мякоть красная , сочная , плотная , ароматная , вкус сладкий , кисло-сладкий , гармоничный ; пригодность к замораживанию и всем видам переработки ; устойчивость к болезням , вредителям , вымоканию , вымораживанию и , безусловно , высокая урожайность",требованиями - куст,['HEAD'],['nom'],HEAD,HEAD: требование,--,--,adj1: nom: куст,,,,
,,,,,,,,,,,,,,
вымоканию - вымораживанию,вымокание,"Крупноплодную землянику подбираю только современных сортов со следующими требованиями : мощный приподнятый компактный или полураскидистый куст ; умеренная способность образовывать усы ; цветоносы многочисленные на уровне или выше листьев ; ягоды крупные , одновременно созревающие ; кожица ярко-красная со слабо погруженными семянками , мякоть красная , сочная , плотная , ароматная , вкус сладкий , кисло-сладкий , гармоничный ; пригодность к замораживанию и всем видам переработки ; устойчивость к болезням , вредителям , вымоканию , вымораживанию и , безусловно , высокая урожайность",вымоканию - вымораживанию,['HEAD'],['dat'],HEAD,HEAD: вымокание,--,--,adj1: dat: вымораживание,,,,
,,,,,,,,,,,,,,
вымораживанию - и,вымораживание,"Крупноплодную землянику подбираю только современных сортов со следующими требованиями : мощный приподнятый компактный или полураскидистый куст ; умеренная способность образовывать усы ; цветоносы многочисленные на уровне или выше листьев ; ягоды крупные , одновременно созревающие ; кожица ярко-красная со слабо погруженными семянками , мякоть красная , сочная , плотная , ароматная , вкус сладкий , кисло-сладкий , гармоничный ; пригодность к замораживанию и всем видам переработки ; устойчивость к болезням , вредителям , вымоканию , вымораживанию и , безусловно , высокая урожайность",вымораживанию - и,['HEAD'],['CONJ'],HEAD,HEAD: вымораживание,--,--,adj1: CONJ: и,,,,
,,,,,,,,,,,,,,
наши - накопления,накопление,- Как защищены наши накопления в частных УК и НПФ,наши - накопления,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: накопление,arg1: poss: наш,--,,,,,
,,,,,,,,,,,,,,
подобное - положение - дел,положение,"Пенсионеры у нас люди грамотные , читать умеют , поэтому Лидии Николаевне не составило труда ознакомиться с законодательством и сделать вывод о том , что подобное положение дел неправомерно",положение - дел,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: положение,arg1: gen: дело,--,,,,,
,,,,,,,,,,,,,,
указанию - Тимошенко,указание,""" В материалах есть достаточно доказательств , которые указывают на то , что именно по указанию Тимошенко проводились эти действия",указанию - Тимошенко,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: указание,arg1: gen: тимошенко,--,,,,,
,,,,,,,,,,,,,,
странному - поведению - отпрысков - на скамье,поведение,После этого уже никто не удивлялся странному поведению их отпрысков на скамье подсудимых,поведению - отпрысков - на скамье,"['HEAD', 'gen']",['на+loc'],HEAD-arg1,HEAD: поведение,arg1: gen: отпрыск,--,adj1: на+loc: скамья,,,,
,,,,,,,,,,,,,,
мое - внимание - на блюдо,внимание,"Во время поездок в Литву один из моих друзей обратил мое внимание на блюдо в меню , которое называется "" вчерашние цепелины """,мое - внимание - на блюдо,"['poss', 'HEAD']",['на+acc'],arg1-HEAD,HEAD: внимание,arg1: poss: мой,--,adj1: на+acc: блюдо,,,,
,,,,,,,,,,,,,,
двух - зданиях - Госдумы,здание,"Так что предположим , что каждый день в двух зданиях Госдумы снуют еще порядка полутора тысяч человек",зданиях - Госдумы,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: здание,arg1: gen: госдума,--,,,,,
,,,,,,,,,,,,,,
быстрое - развитие - процессов,развитие,"Удельный вес населения , живущего в нищете , быстрее всего снижался там , где наблюдалось быстрое развитие модернизационных процессов в экономике ( Китай , Индия )",развитие - процессов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: развитие,arg1: gen: процесс,--,,,,,
,,,,,,,,,,,,,,
открытием - рейса,открытие,"– С открытием рейса Япония стала ближе и удобнее , больше не требуется стыковка в Сеуле или Гонконге",открытием - рейса,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: открытие,arg1: gen: рейс,--,,,,,
,,,,,,,,,,,,,,
Федерального - Собрания - РФ,собрание,"Единственным вопросом , который на сессии так и не был разрешен окончательно , стал выбор представителя Законодательного собрания в Совете Федерации Федерального Собрания РФ",Собрания - РФ,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: собрание,arg1: gen: рф,--,,,,,
,,,,,,,,,,,,,,
соглашения - между правительством,соглашение,"В рамках соглашения между правительством СК , департаментом торговли и услуг города Москвы у наших аграриев появилась возможность вывозить свою продукцию на ярмарки и перерабатывающие предприятия столицы",соглашения - между правительством,['HEAD'],['между+ins'],HEAD,HEAD: соглашение,--,--,adj1: между+ins: правительство,,,,
,,,,,,,,,,,,,,
населения - налогов,население,"Министр финансов Усынин высунул палец : а мы , мол , с населения налогов на 14 % больше соберем",населения - налогов,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: население,arg1: gen: налог,--,,,,,
,,,,,,,,,,,,,,
Описание - мира - Прибайкалья,описание,"Описание животного мира Прибайкалья , безусловно , является достойным завершением этого увлекательного "" путешествия "" по уникальному и красивейшему уголку планеты",Описание - мира - Прибайкалья,"['HEAD', 'gen', 'gen']",[],HEAD-arg1-arg2,HEAD: описание,arg1: gen: мир,arg2: gen: прибайкалье,,,,,
,,,,,,,,,,,,,,
достойным - завершением - путешествия - по уголку,завершение,"Описание животного мира Прибайкалья , безусловно , является достойным завершением этого увлекательного "" путешествия "" по уникальному и красивейшему уголку планеты",завершением - путешествия - по уголку,"['HEAD', 'gen']",['по+nom'],HEAD-arg1,HEAD: завершение,arg1: gen: путешествие,--,adj1: по+nom: уголок,,,,
,,,,,,,,,,,,,,
своем - офицерском - собрании,собрание,"Соответственно мы на своем офицерском собрании решили : нас премируют , а мы сами с этих денег будем премировать своих товарищей",своем - собрании,"['poss', 'HEAD']",[],arg1-HEAD,HEAD: собрание,arg1: poss: свой,--,,,,,
,,,,,,,,,,,,,,
расследование - дела,расследование,Тогда карельские следователи закончили расследование уголовного дела и отправили все материалы своим белорусским коллегам,расследование - дела,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: расследование,arg1: gen: дело,--,,,,,
,,,,,,,,,,,,,,
развитие - рынок,развитие,"Но за прошедшее время в инфраструктуре города произошли существенные изменения : построены крупные магазины , перераспределены рынки сбыта продукции , расширился и видоизменился деловой центр , получил развитие рынок недвижимости",развитие - рынок,['HEAD'],['acc'],HEAD,HEAD: развитие,--,--,adj1: acc: рынок,,,,
,,,,,,,,,,,,,,
здравоохранения - Ингушетии,здравоохранение,"В Назрани ранена замминистра здравоохранения Ингушетии Россиянам достаточно было сыграть вничью , чтобы оформить выход на "" Евро-2012 "" , однако никто не сомневался в победе российской команды",здравоохранения - Ингушетии,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: здравоохранение,arg1: gen: ингушетия,--,,,,,
,,,,,,,,,,,,,,
определении - тематики,определение,"Институт считает , что редакционная коллегия журнала должна играть решающую роль в определении его тематики , отборе публикуемых статей",определении - тематики,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: определение,arg1: gen: тематика,--,,,,,
,,,,,,,,,,,,,,
появлением - Щелкунчика,появление,"С появлением деревянного Щелкунчика ( герои именуют его запросто NC - от английского "" NutCracker "" ) в фильм проникают и крысы",появлением - Щелкунчика,"['HEAD', 'gen']",[],HEAD-arg1,HEAD: появление,arg1: gen: щелкунчик,--,,,,,
,,,,,,,,,,,,,,
Повышение - тарифов - –,повышение,""" Повышение тарифов со стороны монополий и крупных транспортных компаний – мера , скорее , вынужденная , однако для бизнеса это станет серьезной неприятностью",Повышение - тарифов - –,"['HEAD', 'gen']",['PNCT'],HEAD-arg1,HEAD: повышение,arg1: gen: тариф,--,adj1: PNCT: –,,,,
,,,,,,,,,,,,,,
нападением - на них,нападение,Но зато связанных с нападением на них самих немало,нападением - на них,['HEAD'],['на+loc'],HEAD,HEAD: нападение,--,--,adj1: на+loc: они,,,,
,,,,,,,,,,,,,,
внесение - документа - в Собрание,внесение,По плану работ областного правительства внесение документа в Законодательное Собрание намечено на четвертый квартал этого года,внесение - документа - в Собрание,"['HEAD', 'gen']",['в+nom'],HEAD-arg1,HEAD: внесение,arg1: gen: документ,--,adj1: в+nom: собрание,,,,
,,,,,,,,,,,,,,
желание - соскочить,желание,"Хотя у некоторых возникает желание соскочить "" , — отметил президент",желание - соскочить,['HEAD'],"['INFN,perf,intr']",HEAD,HEAD: желание,--,--,"adj1: INFN,perf,intr: соскочить",,,,
